title,artist,url,mood,tempo,energy,valence
Melancholy Waltz,Nel Aique,https://open.spotify.com/track/4DGhYLEc4AMLBWtCAtQPTS,sad,140.514,0.0412,0.153
Melancholy,Martin Czerny,https://open.spotify.com/track/7uVtSNLVRj8vuB29GMaEUR,sad,77.903,0.0662,0.044
melancholy,bloom.,https://open.spotify.com/track/3bP0mPMNw8VEC64Nrbh9NS,sad,80.137,0.00385,0.193
Melancholy Sadie,Yawning Man,https://open.spotify.com/track/6wLE8tylacfgCvdOTPDomb,sad,135.709,0.578,0.423
Melancholy - Piano Version,Piano Skin,https://open.spotify.com/track/3Q92tnYqeCmKLjW9s0AjNo,sad,127.94,0.299,0.177
Melancholy (Rainy Mood),Martin Czerny,https://open.spotify.com/track/0sZVelCImAPCnyrmguRcwd,sad,59.643,0.115,0.0775
In a Melancholy Mood,Celestial Aeon Project,https://open.spotify.com/track/2MyeOdWeVkpCmsLBlFPz16,sad,140.542,0.0839,0.119
Workout Jazz,Upbeat Jazz Cafe,https://open.spotify.com/track/0q5Eq9U51JvUO9NYLxpObG,energetic,94.998,0.308,0.814
Energetic Upbeat Pop,Morninglightmusic,https://open.spotify.com/track/5KMj4vhaIhGx6vLKXc4iS8,energetic,99.884,0.805,0.697
Tune In,Chillstepped,https://open.spotify.com/track/0rsmY9LA5BzPfN7wK4RRL7,energetic,109.019,0.408,0.737
Uplifting Upbeat Energetic Instrumental,Romansenykmusic,https://open.spotify.com/track/7oD4wW96RAo6PtDYbYr4R9,energetic,139.992,0.912,0.729
Reason,Chillstepped,https://open.spotify.com/track/6bKD2sl1psNifpCo2UFQ2q,energetic,92.985,0.868,0.701
Upbeat Energetic Fun Happy Kids,Gold-Tiger,https://open.spotify.com/track/7gJorz00NoHeeDA9oEPWyf,energetic,162.993,0.89,0.936
Reset,Chillstepped,https://open.spotify.com/track/4hk4V0Yx48E2lz6WOBhjiJ,energetic,135.974,0.576,0.55
About Damn Time,Lizzo,https://open.spotify.com/track/1Acxd38LUbtYM4OpjiGliW,energetic,108.966,0.743,0.722
Energetic - 45-15-Rock,BodyCROSS,https://open.spotify.com/track/2s6OPAsQMC7vc7TJ2pVDRZ,energetic,160.002,0.926,0.348
10:35,Tiësto,https://open.spotify.com/track/5M0ApBngnLXxx0yO8YUrNG,energetic,120.003,0.793,0.698
Energetic Mountain,HIIT Workout,https://open.spotify.com/track/5F0pydo7Sp2uBUHwcywrTC,energetic,125.992,0.688,0.451
Energy and Fun (60s),Audiosphere,https://open.spotify.com/track/4xO4r7D949G6qaJgvSHESY,energetic,86.977,0.88,0.106
Energetic Mountain,HIIT Workout,https://open.spotify.com/track/4wmU8KVYtqy8VUpNX67nsm,energetic,125.992,0.688,0.451
Electricity (Clean Workout Mix),Workout Music,https://open.spotify.com/track/6tdqFkeP68k9Q0dcgBQFs9,energetic,128.02,0.9,0.542
Energetic Warm Up: Come On!,Tropical Chill Paradise,https://open.spotify.com/track/0exCHGlpyzXMM7Vr09T1cP,energetic,140.986,0.497,0.577
Energizing Workout Beats,Workout Music!,https://open.spotify.com/track/55FKS4BjpvIFGJxySqEbk5,energetic,109.274,0.478,0.611
Canine Workout Rhythmic Tunes,EMDR Music Therapy,https://open.spotify.com/track/7KUmpFGI8RYt8qzX1odS0k,energetic,159.976,0.113,0.0307
Feel It Still,Portugal. The Man,https://open.spotify.com/track/4hRlvhDlrWbPLmYkfzEYx3,energetic,79.088,0.797,0.758
Sexy Levitation,Power Walking Music Club,https://open.spotify.com/track/3c9bwEOKrLZaXNEtNRQhX9,energetic,123.942,0.704,0.221
ENERGY,EC Twins,https://open.spotify.com/track/6aIu2OsmzRP4PbHbelXgfp,energetic,125.014,0.939,0.151
Calm Pathway to Thought,Eximo Blue,https://open.spotify.com/track/5U13aVH3h0nOvAedxH4bt0,relaxed,79.167,0.0559,0.275
Soft Calming Music,Relaxing Music for Stress Relief,https://open.spotify.com/track/6xsOIolcDvXCHyJkpWJVuk,relaxed,84.069,0.0052,0.172
Relaxed And Calm,Divine Retreat,https://open.spotify.com/track/5vZCsbWOtlXZobJWtuDdFZ,relaxed,72.007,0.0425,0.045
Calming Music for Anxiety,Relaxing music,https://open.spotify.com/track/6qe1yoCvFEv9CLDisZSb6I,relaxed,139.378,0.00877,0.0294
Calm Fields,Deep Sleep Music Experience,https://open.spotify.com/track/2APuLqfwDPjFkPTcfhijtZ,relaxed,74.736,0.00097,0.0918
Relaxing Calm Music,Relaxing Music for Stress Relief,https://open.spotify.com/track/2FyX6EzozMfAGG4jCC0qTr,relaxed,98.271,0.00351,0.0449
Calm,Relaxed Attitude,https://open.spotify.com/track/7yQUoDjyn1ni1aBcBuablC,relaxed,169.753,0.021,0.0875
Calm Music,Relaxing Music for Stress Relief,https://open.spotify.com/track/4HeT925o93G2mQnmCOuFSN,relaxed,61.687,0.00308,0.0513
Get Relaxed,Healing Power Natural Sounds Oasis,https://open.spotify.com/track/3ObkQDkhw7cbR88kpzUbqH,relaxed,106.625,0.154,0.0445
My Favorite Smile,Calmed by Nature,https://open.spotify.com/track/6cxWggso3KpMeq2CLs9oCg,relaxed,111.042,0.153,0.152
Wish Relaxed,Calm Classroom,https://open.spotify.com/track/1tP8YR9mA8VXuklm3FeYDX,relaxed,63.259,0.00476,0.327
Calming Soft Music,Relaxing Music for Stress Relief,https://open.spotify.com/track/43YNx1w5A3cmQ0mmBrjRsf,relaxed,84.656,0.00518,0.0776
I Wish I Knew Better,Relaxing Dogs,https://open.spotify.com/track/4oPcpMOG0em93IKR6yDI16,relaxed,153.113,0.139,0.346
Something Sweet,Calmed by Nature,https://open.spotify.com/track/2k4l8fTBml4fKRKlwl4UEZ,relaxed,146.021,0.176,0.209
Calm and Relaxed,Lullaby For You,https://open.spotify.com/track/6UaDHbShCCAIo3mRvM3CYW,relaxed,120.024,0.0999,0.233
Thursday Afternoon,Calmed by Nature,https://open.spotify.com/track/6aHYW9hVC0aoxzjiH12Gnm,relaxed,105.078,0.178,0.225
Relaxed,Música Cerebro,https://open.spotify.com/track/0q2RQCD3r29ces2cTuijUN,relaxed,175.073,0.0307,0.0362
Old Friends,Calmed by Nature,https://open.spotify.com/track/40IAXqIDucTKtPYFoXYs8R,relaxed,63.178,0.0991,0.248
Prelude to Midnight Calm,Eximo Blue,https://open.spotify.com/track/2vicfDhhoZy2i1AvYxNiv8,relaxed,73.037,0.0539,0.394
Walk Me Home,Calmed by Nature,https://open.spotify.com/track/5QSWMftTSXyabZsPqpbv1w,relaxed,74.976,0.0835,0.422
Romantic Lover,Eyedress,https://open.spotify.com/track/7s5VQqrjBtrBgZL4pEa46S,romantic,184.316,0.447,0.538
Jealous,Eyedress,https://open.spotify.com/track/0AKS1WVEOUSYa3D2ZyOJvM,romantic,93.01,0.921,0.696
Romantic Love,Masaya Matsuura,https://open.spotify.com/track/0Ul8f5CFFvss3Rdu7oKYoq,romantic,93.362,0.904,0.54
Romantic Homicide,d4vd,https://open.spotify.com/track/0SCLsDJtC7DmOwks1tsszt,romantic,131.976,0.535,0.215
Something About You,Eyedress,https://open.spotify.com/track/6RiiSy9GzSwiyDEJDiMuKe,romantic,133.417,0.781,0.822
Romantic Lover - Sped Up + Reverb,314pies,https://open.spotify.com/track/3Kr7W8WM0ArIyFAMR0A6ov,romantic,201.419,0.477,0.631
Romantic (feat. Soulive),Goapele,https://open.spotify.com/track/5liaFrDdoINOvJ4B8WDPa1,romantic,73.349,0.503,0.456
Romantic Love〜恋愛しませんか？☆〜,リリ(CV: 小松未可子),https://open.spotify.com/track/3O9FJlwZWDP0AsgpwDRriA,romantic,145.065,0.93,0.618
Romantic Homicide - Spotify Singles,WHIPPED CREAM,https://open.spotify.com/track/1P7xMiKHrAl4e5Vbi6NbPf,romantic,133.962,0.648,0.335
Jealous,Eyedress,https://open.spotify.com/track/1aXV8GrmQLvgoFtBPERP7E,romantic,93.01,0.921,0.696
Love You Still (abcdefu romantic version),Tyler Shaw,https://open.spotify.com/track/1et7vATtyqLfNMjTTZIYk1,romantic,121.443,0.0784,0.642
Shallow,Romantic Lovebirds,https://open.spotify.com/track/4sfg2Pxqr6UIS3yGX3gqid,romantic,94.013,0.222,0.157
Romantic Homicide,d4vd,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,romantic,132.052,0.544,0.216
Love You Still (abcdefu romantic version),Tyler Shaw,https://open.spotify.com/track/31fMJwgrgNdk1IbWZEchX2,romantic,121.443,0.0784,0.642
Romantic (feat. Toosii),SGE Kash,https://open.spotify.com/track/3J87xdiWkf5YYFXXtwOnQO,romantic,129.966,0.428,0.316
Romantic Love,DJ Cam,https://open.spotify.com/track/3X8x8rmFPCNgZMBYkH9KlP,romantic,122.692,0.382,0.657
No One Noticed,The Marías,https://open.spotify.com/track/48EdPad8XZ71xLa61Rhcp1,romantic,97.989,0.339,0.457
You're The One,Romantic Lovebirds,https://open.spotify.com/track/3DT1btX8VI4Ysm4VAawVEf,romantic,95.829,0.387,0.362
Just the Way You Are,Bruno Mars,https://open.spotify.com/track/4eAEnsaj3CiFZsCL3AaH54,romantic,109.014,0.843,0.434
Lovers Rock,TV Girl,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM,romantic,104.97,0.871,0.572
